Tempo_µs,Ciclo_CPU,Referencia_Motor,Vel_Real
3254412.0,23920.0,375.0,696.0
3278256.0,23920.0,375.0,696.0
3302252.0,23920.0,375.0,910.0
3326096.0,23920.0,375.0,910.0
3350092.0,23920.0,375.0,1178.0
3374976.0,24960.0,375.0,1178.0
3400012.0,24960.0,375.0,1017.0
3424896.0,24960.0,375.0,1017.0
3449940.0,24964.0,375.0,1071.0
3474816.0,24956.0,375.0,1071.0
3499852.0,24960.0,375.0,964.0
3523696.0,23920.0,375.0,964.0
3547688.0,23920.0,375.0,1125.0
3572576.0,24960.0,375.0,1125.0
3597612.0,24960.0,375.0,964.0
3621456.0,23920.0,375.0,964.0
3645456.0,23920.0,375.0,803.0
3669296.0,23920.0,375.0,803.0
3693292.0,23920.0,375.0,1017.0
3718184.0,24960.0,375.0,1017.0
3743212.0,24960.0,375.0,964.0
3767056.0,23920.0,375.0,964.0
3791052.0,23920.0,375.0,857.0
3814896.0,23924.0,375.0,857.0
3838892.0,23916.0,375.0,1178.0
3863776.0,24960.0,375.0,1178.0
3888812.0,24960.0,375.0,964.0
3912656.0,23920.0,375.0,964.0
3936652.0,23920.0,375.0,964.0
3960496.0,23920.0,375.0,964.0
3984500.0,23920.0,375.0,910.0
4008336.0,23924.0,375.0,910.0
4032332.0,23916.0,375.0,910.0
4056176.0,23920.0,375.0,910.0
4080172.0,23920.0,375.0,696.0
4104016.0,23920.0,375.0,696.0
4128012.0,23924.0,375.0,857.0
4151856.0,23916.0,375.0,857.0
4175852.0,23920.0,375.0,857.0
4199696.0,23920.0,375.0,857.0
4223692.0,23920.0,375.0,910.0
4247536.0,23920.0,375.0,910.0
4271532.0,23920.0,375.0,803.0
4295376.0,23924.0,375.0,803.0
4319372.0,23916.0,375.0,803.0
4343216.0,23920.0,375.0,803.0
4367212.0,23920.0,375.0,964.0
4391056.0,23920.0,375.0,964.0
4415052.0,23920.0,375.0,910.0
4438896.0,23920.0,375.0,910.0
